Year,Month,Day,Temperature,DHI,DNI,GHI,Relative Humidity,Wind Direction,Wind Speed,Pressure,Dew Point
2016,1,1,21.989583333333332,65.63194444444444,234.625,194.52083333333334,76.51777777777778,204.38194444444446,2.7930555555555556,1021.0625,17.59097222222222
2016,1,2,21.80972222222222,45.236111111111114,299.7916666666667,207.23611111111111,72.27993055555555,296.6736111111111,2.4972222222222222,1021.2777777777778,16.50625
2016,1,3,21.196527777777778,72.05555555555556,213.46527777777777,190.59027777777777,70.5104861111111,338.68055555555554,2.113888888888889,1020.1041666666666,15.521527777777777
2016,1,4,20.977777777777778,83.06944444444444,181.24305555555554,185.55555555555554,74.42479166666666,340.84722222222223,2.683333333333333,1020.2013888888889,16.15
2016,1,5,21.27847222222222,71.33333333333333,222.39583333333334,192.81944444444446,74.04895833333333,308.6458333333333,2.7291666666666665,1019.7638888888889,16.390277777777776
2016,1,6,21.152083333333334,62.083333333333336,244.5,197.99305555555554,74.30715277777777,231.80555555555554,2.8854166666666665,1019.6875,16.293750000000003
2016,1,7,21.61388888888889,65.55555555555556,233.20138888888889,195.38888888888889,74.79493055555555,343.4166666666667,2.9340277777777777,1019.8958333333334,16.84652777777778
2016,1,8,21.410416666666666,73.28472222222223,210.375,191.48611111111111,74.34458333333333,332.31944444444446,2.538888888888889,1018.8333333333334,16.586805555555557
2016,1,9,21.5,90.47916666666667,135.03472222222223,168.61111111111111,73.22194444444443,272.90972222222223,1.3131944444444443,1017.3958333333334,16.427083333333332
2016,1,10,21.44236111111111,80.24305555555556,168.70138888888889,171.5625,76.41034722222223,161.31944444444446,1.3708333333333333,1019.2361111111111,16.96597222222222
2016,1,11,21.53402777777778,82.04166666666667,186.21527777777777,187.21527777777777,78.76194444444444,223.70138888888889,2.4368055555555554,1019.2361111111111,17.580555555555556
2016,1,12,21.04236111111111,67.9375,228.36805555555554,197.10416666666666,66.88576388888889,233.08333333333334,2.8854166666666665,1017.8541666666666,14.488194444444446
2016,1,13,20.868055555555557,83.22916666666667,181.44444444444446,188.63888888888889,65.84833333333333,269.31944444444446,2.5381944444444446,1017.2777777777778,14.117361111111112
2016,1,14,20.788194444444443,82.6875,184.23611111111111,187.96527777777777,67.80798611111112,318.78472222222223,2.773611111111111,1017.6875,14.471527777777778
2016,1,15,21.197916666666668,73.27777777777777,215.1875,196.82638888888889,66.73048611111112,298.6875,3.1909722222222223,1015.7361111111111,14.64236111111111
2016,1,16,21.447222222222223,85.77083333333333,178.61111111111111,189.85416666666666,69.433125,273.6736111111111,2.270138888888889,1015.4375,15.478472222222223
2016,1,17,21.638194444444444,73.89583333333333,211.50694444444446,197.07638888888889,71.21708333333333,211.83333333333334,2.5,1016.2569444444445,16.052083333333332
2016,1,18,21.163888888888888,75.83333333333333,208.4375,196.77083333333334,65.96402777777777,197.70833333333334,2.8583333333333334,1015.9583333333334,14.358333333333333
2016,1,19,21.899305555555557,73.375,216.10416666666666,197.84722222222223,66.39263888888888,289.53472222222223,2.5611111111111113,1016.1111111111111,15.191666666666666
2016,1,20,22.506944444444443,71.27083333333333,216.97222222222223,196.96527777777777,63.26881944444444,194.28472222222223,1.4506944444444445,1016.4097222222222,15.015972222222224
2016,1,21,22.256944444444443,50.94444444444444,26.194444444444443,62.048611111111114,73.56631944444445,300.6736111111111,2.908333333333333,1017.2013888888889,17.181944444444444
2016,1,22,21.329166666666666,96.72916666666667,113.73611111111111,161.40277777777777,74.85291666666666,227.32638888888889,3.8354166666666663,1018.8125,16.56736111111111
2016,1,23,20.427777777777777,59.479166666666664,276.43055555555554,219.78472222222223,68.59340277777778,301.96527777777777,3.7548611111111114,1019.9861111111111,14.327777777777776
2016,1,24,20.133333333333333,57.583333333333336,287.77777777777777,223.57638888888889,64.13826388888889,347.2986111111111,3.6006944444444446,1019.7291666666666,12.921527777777778
2016,1,25,19.97152777777778,61.03472222222222,273.9236111111111,218.97916666666666,61.982777777777784,259.46527777777777,2.6104166666666666,1019.2222222222222,12.158333333333333
2016,1,26,19.768749999999997,67.57638888888889,251.25694444444446,215.84722222222223,58.12479166666666,191.98611111111111,2.1881944444444446,1019.3819444444445,10.981944444444444
2016,1,27,19.77847222222222,99.15972222222223,162.22916666666666,197.97916666666666,64.20409722222222,213.09027777777777,1.8555555555555554,1018.4375,12.585416666666667
2016,1,28,20.702777777777776,51.05555555555556,26.9375,65.09722222222223,73.358125,184.45138888888889,1.3847222222222222,1018.2013888888889,15.616666666666667
2016,1,29,21.805555555555557,87.06944444444444,183.13194444444446,200.875,75.67013888888889,252.75,2.1104166666666666,1018.7222222222222,17.147222222222222
2016,1,30,21.741666666666667,94.48611111111111,172.04861111111111,199.875,72.38277777777779,330.9513888888889,2.3604166666666666,1017.8888888888889,16.406944444444445
2016,1,31,22.133333333333333,109.86805555555556,130.81944444444446,191.89583333333334,72.14708333333334,234.68055555555554,1.5750000000000002,1017.8888888888889,16.752083333333335
2016,2,1,22.470138888888886,89.38194444444444,193.07638888888889,207.43055555555554,76.37208333333334,267.25694444444446,1.6777777777777778,1018.4097222222222,17.97361111111111
2016,2,2,22.742361111111112,69.16666666666667,247.65972222222223,219.93055555555554,74.84131944444444,246.07638888888889,2.5118055555555556,1018.4791666666666,17.868055555555557
2016,2,3,22.855555555555554,83.77777777777777,213.99305555555554,214.875,69.48555555555555,227.88194444444446,2.5159722222222225,1017.5,16.759027777777778
2016,2,4,22.843055555555555,86.40972222222223,207.89583333333334,214.57638888888889,67.87756944444445,342.0763888888889,2.7756944444444445,1018.0069444444445,16.427777777777777
